,numbers_of_neurons_on_first_convolutional_layer,number_of_neurons_on_second_convolutional_layer,number_of_neurons_on_hidden_layer,number_of_neurons_on_exit_layer,activation_function_of_first_convolutional_layer,activation_function_of_second_convolutional_layer,activation_function_of_first_hidden_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,training_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss
84,9,9,64,10,tanh,tanh,sigmoid,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9708333611488342,0.12404822558164597
57,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9706666469573975,0.12214423716068268
55,9,9,64,10,tanh,sigmoid,relu,softmax,categorical_hinge,nadam,accuracy,0.9,26,2048,True,./RN/,0.9691666960716248,0.11645184457302094
9,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_crossentropy,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.9670000076293945,0.15322643518447876
56,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9670000076293945,0.21123600006103516
8,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_crossentropy,adam,accuracy,0.9,26,2048,True,./RN/,0.9520000219345093,0.291565477848053
11,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.950166642665863,0.28818681836128235
12,9,9,64,10,relu,sigmoid,sigmoid,softmax,categorical_hinge,adam,accuracy,0.9,26,2048,True,./RN/,0.9351666569709778,0.5135144591331482
61,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_hinge,rmsprop,accuracy,0.9,26,2048,True,./RN/,0.934333324432373,0.5424319505691528
59,9,9,64,10,tanh,sigmoid,sigmoid,softmax,categorical_crossentropy,nadam,accuracy,0.9,26,2048,True,./RN/,0.8973333239555359,0.30709758400917053
42,9,9,64,10,relu,tanh,tanh,softmax,categorical_crossentropy,sgd,accuracy,0.9,26,2048,True,./RN/,0.8688333630561829,0.647868812084198
