,numbers_of_neurons_on_first_layer,number_of_neurons_on_second_layer,number_of_neurons_on_third_layer,number_of_neurons_on_exit_layer,activation_function_of_first_layer,activation_function_of_second_layer,activation_function_of_exit_layer,lose_verify_function,optimizator_type,metric,test_quota,epochs,amostras,use_hard_test_data_to_validate_model,images_folder_path,result_metric,result_loss,metric_name
46,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,adagrad,mean_squared_error,0.1,16,2048,True,./RN/,0.08993733674287796,2.299426555633545,mean_squared_error
47,397.0,397.0,397.0,10,sigmoid,sigmoid,softmax,categorical_crossentropy,adagrad,mean_absolute_error,0.1,16,2048,True,./RN/,0.1799587607383728,2.3021368980407715,mean_absolute_error
48,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,sgd,accuracy,0.1,16,2048,True,./RN/,0.7020000219345093,0.25024935603141785,accuracy
49,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,sgd,mean_squared_error,0.1,16,2048,True,./RN/,0.06869260966777802,0.257220059633255,mean_squared_error
50,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,sgd,mean_absolute_error,0.1,16,2048,True,./RN/,0.150865837931633,0.25118228793144226,mean_absolute_error
51,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,adam,accuracy,0.1,16,2048,True,./RN/,0.9736666679382324,0.017262738198041916,accuracy
52,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,adam,mean_squared_error,0.1,16,2048,True,./RN/,0.004557864274829626,0.018519343808293343,mean_squared_error
53,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,adam,mean_absolute_error,0.1,16,2048,True,./RN/,0.006423036567866802,0.01709393784403801,mean_absolute_error
54,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,rmsprop,accuracy,0.1,16,2048,True,./RN/,0.971666693687439,0.017883028835058212,accuracy
55,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,rmsprop,mean_squared_error,0.1,16,2048,True,./RN/,0.004795827437192202,0.019567910581827164,mean_squared_error
56,397.0,397.0,397.0,10,tanh,tanh,softmax,binary_crossentropy,rmsprop,mean_absolute_error,0.1,16,2048,True,./RN/,0.006614529062062502,0.017698610201478004,mean_absolute_error
